location,price,total_area,net_area,price_per_sqm,rooms_count,halls_count,bathrooms_count,balconies_count,floor_raw,floor_num,total_floors,building_age_clean,age_category,legal_status,house_condition,kitchen_type,heating_type,has_elevator,has_parking,in_complex,is_furnished,facade_directions,advertiser_type,near_mosque,near_hospital,near_park,near_university,near_school,near_market,near_transport
وادي الذهب,28000,120,120,233.33,2,1,2,1,2,2,4,7.5,Semi-New,طابو أخضر/نظامي,فارغ,مغلق,تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,غير مفروش,"جنوب,شرق",وسيط,0,0,0,0,0,0,0
وادي الذهب,28000,120,120,233.33,4,1,2,1,2,2,4,7.5,Semi-New,كاتب عدل/وكالة,فارغ,مغلق,تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,غير مفروش,"جنوب,شمال",وسيط,0,0,0,0,0,0,0
كرم اللوز,30000,110,110,272.73,2,1,2,1,2,2,4,7.5,Semi-New,كاتب عدل/وكالة,فارغ,مفتوح (أمريكي),تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,غير مفروش,شمال,وسيط,0,1,0,0,0,0,0
جب الجندلي,30000,90,90,333.33,2,1,2,1,أرضي,0,4,25.0,Old,طابو أخضر/نظامي,مسكون من صاحبه,مغلق,تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,غير مفروش,"جنوب,شرق",وسيط,0,0,0,0,0,0,0
جب الجندلي,30000,120,120,250.0,4,1,2,1,2,2,4,25.0,Old,طابو أخضر/نظامي,فارغ,مغلق,تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,غير مفروش,جنوب,وسيط,0,0,0,0,0,0,0
وادي الذهب,32000,145,145,220.69,3,1,2,2,1,1,4,7.5,Semi-New,حكم محكمة,مسكون من صاحبه,مغلق,تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,مفروش,جنوب,وسيط,0,0,0,0,0,0,0
وادي الذهب,34000,140,140,242.86,4,1,2,1,2,2,5,4.0,New,حكم محكمة,مسكون من صاحبه,مغلق,تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,مفروش,"جنوب,شمال",وسيط,0,0,0,0,0,0,0
الحميدية,35000,90,90,388.89,2,1,2,1,2,2,4,7.5,Semi-New,طابو أخضر/نظامي,فارغ,مغلق,تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,غير مفروش,"جنوب,شمال",وسيط,0,0,0,0,0,0,0
ضاحية الوليد,35000,117,117,299.15,2,1,2,2,2,2,4,7.5,Semi-New,طابو أخضر/نظامي,مسكون من صاحبه,مغلق,تدفئة ديزل,بدون مصعد,بدون موقف,داخل مجمع,مفروش,"جنوب,شرق,غرب",وسيط,0,0,0,0,0,0,0
العباسية_المهاجرين,35000,145,145,241.38,3,1,2,1,2,2,4,10.0,Semi-New,كاتب عدل/وكالة,مسكون من صاحبه,مغلق,تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,مفروش,"جنوب,شمال",وسيط,0,0,1,0,0,0,0
جب الجندلي,35000,190,140,184.21,3,1,3,0,أرضي,0,3,50.0,Old,طابو أخضر/نظامي,فارغ,مغلق,لا يوجد,بدون مصعد,بدون موقف,داخل مجمع,غير مفروش,"شرق,شمال,غرب",المالك,0,0,0,0,0,0,0
